eventdate,timestamp_local,actividad,http_4xx,http_5xx,sum_downloadTime,avg_downloadTime
2025-01-01,2025-01-01 00:00:00,9,0,0,2122,235.78
2025-01-01,2025-01-01 00:05:00,7,0,0,1864,266.29
2025-01-01,2025-01-01 00:10:00,8,3,0,1854,231.75
2025-01-01,2025-01-01 00:15:00,7,0,0,2140,305.71
2025-01-01,2025-01-01 00:20:00,10,0,0,2094,209.4
2025-01-01,2025-01-01 00:25:00,10,1,0,2234,223.4
2025-01-01,2025-01-01 00:30:00,13,0,0,3653,281.0
2025-01-01,2025-01-01 00:35:00,13,0,0,3614,278.0
2025-01-01,2025-01-01 00:40:00,15,0,0,3251,216.73
2025-01-01,2025-01-01 00:45:00,13,1,0,2782,214.0
2025-01-01,2025-01-01 00:50:00,13,0,0,4568,351.38
2025-01-01,2025-01-01 00:55:00,11,0,0,2445,222.27
2025-01-01,2025-01-01 01:00:00,13,0,0,3041,233.92
2025-01-01,2025-01-01 01:05:00,15,0,0,3075,205.0
2025-01-01,2025-01-01 01:10:00,16,2,0,4659,291.19
2025-01-01,2025-01-01 01:15:00,18,0,0,4594,255.22
2025-01-01,2025-01-01 01:20:00,12,1,0,2489,207.42
2025-01-01,2025-01-01 01:25:00,8,1,0,1898,237.25
2025-01-01,2025-01-01 01:30:00,16,2,0,3484,217.75
2025-01-01,2025-01-01 01:35:00,14,0,0,3082,220.14
2025-01-01,2025-01-01 01:40:00,11,0,0,3003,273.0
2025-01-01,2025-01-01 01:45:00,18,1,0,3877,215.39
2025-01-01,2025-01-01 01:50:00,16,0,0,3523,220.19
2025-01-01,2025-01-01 01:55:00,17,1,0,3960,232.94
2025-01-01,2025-01-01 02:00:00,11,0,0,2621,238.27
2025-01-01,2025-01-01 02:05:00,22,2,0,4914,223.36
2025-01-01,2025-01-01 02:10:00,13,2,0,3758,289.08
2025-01-01,2025-01-01 02:15:00,21,0,0,4702,223.9
2025-01-01,2025-01-01 02:20:00,24,0,0,6126,255.25
2025-01-01,2025-01-01 02:25:00,20,0,0,4268,213.4
2025-01-01,2025-01-01 02:30:00,15,1,0,4120,274.67
2025-01-01,2025-01-01 02:35:00,12,0,0,3684,307.0
