eventdate,timestamp_local,actividad,http_4xx,http_5xx,sum_downloadTime,avg_downloadTime,is_anomaly,anomaly_type
2025-01-01,2025-01-01 00:00:00,42,1,0,7659,182.36,0,
2025-01-01,2025-01-01 00:05:00,52,1,0,13676,263.0,0,
2025-01-01,2025-01-01 00:10:00,34,1,0,8050,236.76,0,
2025-01-01,2025-01-01 00:15:00,53,0,0,13135,247.83,0,
2025-01-01,2025-01-01 00:20:00,48,0,0,11629,242.27,0,
2025-01-01,2025-01-01 00:25:00,40,1,0,10512,262.8,0,
2025-01-01,2025-01-01 00:30:00,51,0,0,11684,229.1,0,
2025-01-01,2025-01-01 00:35:00,28,0,0,5646,201.64,0,
2025-01-01,2025-01-01 00:40:00,54,2,0,9457,175.13,0,
2025-01-01,2025-01-01 00:45:00,26,0,0,4596,176.77,0,
2025-01-01,2025-01-01 00:50:00,57,2,0,15977,280.3,0,
2025-01-01,2025-01-01 00:55:00,48,1,0,8513,177.35,0,
2025-01-01,2025-01-01 01:00:00,57,0,0,11140,195.44,0,
2025-01-01,2025-01-01 01:05:00,51,0,0,11728,229.96,0,
2025-01-01,2025-01-01 01:10:00,31,0,0,8353,269.45,0,
2025-01-01,2025-01-01 01:15:00,57,1,0,17474,306.56,0,
2025-01-01,2025-01-01 01:20:00,40,1,0,9591,239.78,0,
2025-01-01,2025-01-01 01:25:00,48,0,0,10086,210.12,0,
2025-01-01,2025-01-01 01:30:00,51,0,0,12043,236.14,0,
2025-01-01,2025-01-01 01:35:00,40,0,0,11350,283.75,0,
2025-01-01,2025-01-01 01:40:00,43,0,0,9738,226.47,0,
2025-01-01,2025-01-01 01:45:00,61,0,0,15560,255.08,0,
2025-01-01,2025-01-01 01:50:00,46,0,0,10913,237.24,0,
2025-01-01,2025-01-01 01:55:00,48,0,0,11563,240.9,0,
2025-01-01,2025-01-01 02:00:00,62,2,0,16042,258.74,0,
2025-01-01,2025-01-01 02:05:00,72,1,0,14388,199.83,0,
2025-01-01,2025-01-01 02:10:00,51,1,0,11774,230.86,0,
2025-01-01,2025-01-01 02:15:00,65,1,0,16929,260.45,0,
2025-01-01,2025-01-01 02:20:00,51,0,0,9494,186.16,0,
2025-01-01,2025-01-01 02:25:00,63,1,0,17617,279.63,0,
2025-01-01,2025-01-01 02:30:00,54,1,0,12384,229.33,0,
2025-01-01,2025-01-01 02:35:00,71,1,0,20569,289.7,0,
2025-01-01,2025-01-01 02:40:00,67,0,0,18777,280.25,0,
2025-01-01,2025-01-01 02:45:00,63,0,0,17504,277.84,0,
2025-01-01,2025-01-01 02:50:00,63,1,0,15341,243.51,0,
2025-01-01,2025-01-01 02:55:00,83,2,0,22063,265.82,0,
2025-01-01,2025-01-01 03:00:00,70,2,0,16233,231.9,0,
2025-01-01,2025-01-01 03:05:00,69,2,0,18716,271.25,0,
2025-01-01,2025-01-01 03:10:00,60,0,0,9973,166.22,0,
2025-01-01,2025-01-01 03:15:00,61,1,0,15366,251.9,0,
2025-01-01,2025-01-01 03:20:00,84,1,0,20228,240.81,0,
2025-01-01,2025-01-01 03:25:00,65,1,0,18117,278.72,0,
2025-01-01,2025-01-01 03:30:00,83,1,0,18318,220.7,0,
2025-01-01,2025-01-01 03:35:00,104,1,0,26654,256.29,0,
2025-01-01,2025-01-01 03:40:00,95,1,0,15975,168.16,0,
2025-01-01,2025-01-01 03:45:00,101,1,0,22791,225.65,0,
2025-01-01,2025-01-01 03:50:00,80,1,0,19848,248.1,0,
2025-01-01,2025-01-01 03:55:00,98,1,0,23045,235.15,0,
2025-01-01,2025-01-01 04:00:00,103,2,0,23121,224.48,0,
2025-01-01,2025-01-01 04:05:00,99,1,0,21475,216.92,0,
2025-01-01,2025-01-01 04:10:00,96,0,0,21646,225.48,0,
2025-01-01,2025-01-01 04:15:00,126,1,0,30230,239.92,0,
2025-01-01,2025-01-01 04:20:00,122,1,0,27580,226.07,0,
2025-01-01,2025-01-01 04:25:00,113,0,0,19597,173.42,0,
2025-01-01,2025-01-01 04:30:00,140,2,0,33175,236.96,0,
2025-01-01,2025-01-01 04:35:00,138,2,0,26891,194.86,0,
2025-01-01,2025-01-01 04:40:00,163,3,0,36081,221.36,0,
2025-01-01,2025-01-01 04:45:00,135,0,0,31819,235.7,0,
2025-01-01,2025-01-01 04:50:00,128,0,0,29295,228.87,0,
2025-01-01,2025-01-01 04:55:00,197,2,0,45134,229.11,0,
2025-01-01,2025-01-01 05:00:00,136,1,0,23121,170.01,0,
2025-01-01,2025-01-01 05:05:00,165,0,0,40824,247.42,0,
2025-01-01,2025-01-01 05:10:00,182,1,0,52200,286.81,0,
2025-01-01,2025-01-01 05:15:00,210,4,0,45350,215.95,0,
2025-01-01,2025-01-01 05:20:00,278,3,0,70392,253.21,0,
2025-01-01,2025-01-01 05:25:00,267,1,0,70788,265.12,0,
2025-01-01,2025-01-01 05:30:00,252,6,93,49638,196.98,1,burst_5xx
2025-01-01,2025-01-01 05:35:00,200,1,0,46518,232.59,0,
2025-01-01,2025-01-01 05:40:00,255,2,0,54591,214.08,0,
2025-01-01,2025-01-01 05:45:00,251,4,0,48508,193.26,0,
2025-01-01,2025-01-01 05:50:00,232,2,0,58809,253.49,0,
2025-01-01,2025-01-01 05:55:00,304,4,0,73075,240.38,0,
2025-01-01,2025-01-01 06:00:00,259,1,0,48422,186.96,0,
2025-01-01,2025-01-01 06:05:00,313,6,0,91000,290.73,0,
2025-01-01,2025-01-01 06:10:00,302,0,0,75069,248.57,0,
2025-01-01,2025-01-01 06:15:00,289,0,0,62176,215.14,0,
2025-01-01,2025-01-01 06:20:00,321,4,0,85161,265.3,0,
2025-01-01,2025-01-01 06:25:00,344,4,0,83036,241.38,0,
2025-01-01,2025-01-01 06:30:00,344,4,0,89239,259.42,0,
2025-01-01,2025-01-01 06:35:00,323,0,0,67168,207.95,0,
2025-01-01,2025-01-01 06:40:00,377,6,0,73326,194.5,0,
2025-01-01,2025-01-01 06:45:00,440,3,0,64346,146.24,0,
2025-01-01,2025-01-01 06:50:00,425,5,0,100633,236.78,0,
2025-01-01,2025-01-01 06:55:00,415,3,0,106807,257.37,0,
2025-01-01,2025-01-01 07:00:00,489,3,0,106211,217.2,0,
2025-01-01,2025-01-01 07:05:00,369,2,0,83620,226.61,0,
2025-01-01,2025-01-01 07:10:00,402,2,0,113966,283.5,0,
2025-01-01,2025-01-01 07:15:00,421,2,0,111731,265.39,0,
2025-01-01,2025-01-01 07:20:00,427,5,0,115954,271.56,0,
2025-01-01,2025-01-01 07:25:00,437,7,0,125881,288.06,0,
2025-01-01,2025-01-01 07:30:00,528,6,0,120067,227.4,0,
2025-01-01,2025-01-01 07:35:00,522,5,0,113360,217.16,0,
2025-01-01,2025-01-01 07:40:00,510,7,0,104964,205.81,0,
2025-01-01,2025-01-01 07:45:00,627,7,0,175350,279.67,0,
2025-01-01,2025-01-01 07:50:00,561,6,0,112456,200.46,0,
2025-01-01,2025-01-01 07:55:00,670,6,0,187238,279.46,0,
2025-01-01,2025-01-01 08:00:00,727,4,0,148931,204.86,0,
2025-01-01,2025-01-01 08:05:00,582,4,0,129588,222.66,0,
2025-01-01,2025-01-01 08:10:00,813,12,0,187434,230.55,0,
2025-01-01,2025-01-01 08:15:00,647,6,0,139634,215.82,0,
2025-01-01,2025-01-01 08:20:00,643,12,0,113602,176.67,0,
2025-01-01,2025-01-01 08:25:00,750,10,0,205027,273.37,0,
2025-01-01,2025-01-01 08:30:00,563,7,0,130143,231.16,0,
2025-01-01,2025-01-01 08:35:00,613,3,0,201468,328.66,0,
2025-01-01,2025-01-01 08:40:00,718,7,0,197580,275.18,0,
2025-01-01,2025-01-01 08:45:00,729,8,0,166980,229.05,0,
2025-01-01,2025-01-01 08:50:00,629,4,0,156791,249.27,0,
2025-01-01,2025-01-01 08:55:00,801,13,0,193791,241.94,0,
2025-01-01,2025-01-01 09:00:00,744,9,0,165571,222.54,0,
2025-01-01,2025-01-01 09:05:00,803,13,0,215354,268.19,0,
2025-01-01,2025-01-01 09:10:00,773,9,0,229353,296.71,0,
2025-01-01,2025-01-01 09:15:00,947,12,0,237758,251.06,0,
2025-01-01,2025-01-01 09:20:00,740,5,0,196944,266.14,0,
2025-01-01,2025-01-01 09:25:00,756,7,0,211208,279.38,0,
2025-01-01,2025-01-01 09:30:00,689,6,0,168394,244.4,0,
2025-01-01,2025-01-01 09:35:00,860,11,0,210139,244.35,0,
2025-01-01,2025-01-01 09:40:00,966,7,0,305044,315.78,0,
2025-01-01,2025-01-01 09:45:00,1070,18,0,188803,176.45,0,
2025-01-01,2025-01-01 09:50:00,901,18,0,260014,288.58,0,
2025-01-01,2025-01-01 09:55:00,968,13,0,190114,196.4,0,
2025-01-01,2025-01-01 10:00:00,839,7,0,258121,307.65,0,
2025-01-01,2025-01-01 10:05:00,997,6,0,226422,227.1,0,
2025-01-01,2025-01-01 10:10:00,1010,14,0,250304,247.83,0,
2025-01-01,2025-01-01 10:15:00,983,13,0,310990,316.37,0,
2025-01-01,2025-01-01 10:20:00,852,11,0,143476,168.4,0,
2025-01-01,2025-01-01 10:25:00,830,9,0,211836,255.22,0,
2025-01-01,2025-01-01 10:30:00,1061,8,0,286575,270.1,0,
2025-01-01,2025-01-01 10:35:00,790,11,0,199255,252.22,0,
2025-01-01,2025-01-01 10:40:00,1155,8,0,344752,298.49,0,
2025-01-01,2025-01-01 10:45:00,807,6,0,231657,287.06,0,
2025-01-01,2025-01-01 10:50:00,1067,7,0,274814,257.56,0,
2025-01-01,2025-01-01 10:55:00,773,6,0,188614,244.0,0,
2025-01-01,2025-01-01 11:00:00,1048,12,0,314076,299.69,0,
2025-01-01,2025-01-01 11:05:00,1136,11,0,283182,249.28,0,
2025-01-01,2025-01-01 11:10:00,1113,15,0,288161,258.9,0,
2025-01-01,2025-01-01 11:15:00,1241,20,0,327766,264.11,0,
2025-01-01,2025-01-01 11:20:00,1248,15,0,265025,212.36,0,
2025-01-01,2025-01-01 11:25:00,953,13,0,280247,294.07,0,
2025-01-01,2025-01-01 11:30:00,826,10,0,200087,242.24,0,
2025-01-01,2025-01-01 11:35:00,980,14,0,292450,298.42,0,
2025-01-01,2025-01-01 11:40:00,822,10,0,190465,231.71,0,
2025-01-01,2025-01-01 11:45:00,1038,13,0,301412,290.38,0,
2025-01-01,2025-01-01 11:50:00,858,8,0,255842,298.18,0,
2025-01-01,2025-01-01 11:55:00,933,12,0,216842,232.41,0,
2025-01-01,2025-01-01 12:00:00,873,4,0,224588,257.26,0,
2025-01-01,2025-01-01 12:05:00,948,18,0,271988,286.91,0,
2025-01-01,2025-01-01 12:10:00,972,15,0,261924,269.47,0,
2025-01-01,2025-01-01 12:15:00,989,12,0,269589,272.59,0,
2025-01-01,2025-01-01 12:20:00,1190,18,0,249839,209.95,0,
2025-01-01,2025-01-01 12:25:00,992,9,0,246221,248.21,0,
2025-01-01,2025-01-01 12:30:00,989,16,0,166615,168.47,0,
2025-01-01,2025-01-01 12:35:00,2833,95,347,1768726,624.33,1,combinada
2025-01-01,2025-01-01 12:40:00,1195,22,0,399016,333.9,0,
2025-01-01,2025-01-01 12:45:00,1182,10,0,358953,303.68,0,
2025-01-01,2025-01-01 12:50:00,905,6,0,213931,236.39,0,
2025-01-01,2025-01-01 12:55:00,990,19,0,306483,309.58,0,
2025-01-01,2025-01-01 13:00:00,913,5,0,235995,258.48,0,
2025-01-01,2025-01-01 13:05:00,949,10,0,234560,247.17,0,
2025-01-01,2025-01-01 13:10:00,937,7,0,222178,237.12,0,
2025-01-01,2025-01-01 13:15:00,1038,13,0,258868,249.39,0,
2025-01-01,2025-01-01 13:20:00,941,11,0,256991,273.1,0,
2025-01-01,2025-01-01 13:25:00,1170,20,0,371959,317.91,0,
2025-01-01,2025-01-01 13:30:00,1054,14,0,271474,257.57,0,
2025-01-01,2025-01-01 13:35:00,879,7,0,260318,296.15,0,
2025-01-01,2025-01-01 13:40:00,836,7,0,203146,243.0,0,
2025-01-01,2025-01-01 13:45:00,963,11,0,280688,291.47,0,
2025-01-01,2025-01-01 13:50:00,1201,12,0,316507,263.54,0,
2025-01-01,2025-01-01 13:55:00,832,13,0,184517,221.78,0,
2025-01-01,2025-01-01 14:00:00,932,16,0,217319,233.17,0,
2025-01-01,2025-01-01 14:05:00,1060,7,0,272014,256.62,0,
2025-01-01,2025-01-01 14:10:00,956,11,0,270208,282.64,0,
2025-01-01,2025-01-01 14:15:00,869,5,0,204500,235.33,0,
2025-01-01,2025-01-01 14:20:00,853,20,0,224858,263.61,0,
2025-01-01,2025-01-01 14:25:00,815,11,0,184451,226.32,0,
2025-01-01,2025-01-01 14:30:00,691,8,0,213103,308.4,0,
2025-01-01,2025-01-01 14:35:00,847,8,0,197893,233.64,0,
2025-01-01,2025-01-01 14:40:00,793,13,0,224984,283.71,0,
2025-01-01,2025-01-01 14:45:00,859,13,0,175568,204.39,0,
2025-01-01,2025-01-01 14:50:00,863,13,0,217027,251.48,0,
2025-01-01,2025-01-01 14:55:00,705,6,0,147930,209.83,0,
2025-01-01,2025-01-01 15:00:00,783,5,0,190670,243.51,0,
2025-01-01,2025-01-01 15:05:00,889,7,0,250916,282.25,0,
2025-01-01,2025-01-01 15:10:00,913,11,0,230658,252.64,0,
2025-01-01,2025-01-01 15:15:00,680,6,0,165101,242.8,0,
2025-01-01,2025-01-01 15:20:00,854,10,0,221027,258.81,0,
2025-01-01,2025-01-01 15:25:00,860,8,0,160667,186.82,0,
2025-01-01,2025-01-01 15:30:00,702,8,0,97590,139.02,0,
2025-01-01,2025-01-01 15:35:00,796,10,0,147621,185.45,0,
2025-01-01,2025-01-01 15:40:00,761,11,0,182806,240.22,0,
